epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.046,2.05577,3.93417,1.16573,0.00259,0.68105,0.08385,0.01828,2.45424,10.1905,1.18543,0.00023338,0.00023338,0.00023338
2,278.478,1.79642,2.34815,1.12925,0.00341,0.82737,0.03319,0.02511,2.80383,10.7392,1.30238,0.000473858,0.000473858,0.000473858
3,423.557,1.7666,2.20427,1.14655,0.00083,0.21895,0.00069,0.00026,2.81245,12.6036,1.39225,0.000704434,0.000704434,0.000704434
4,561.415,1.62328,2.389,1.06551,0.00019,0.05263,0.00054,0.00012,2.91861,11.5059,1.4943,0.000925108,0.000925108,0.000925108
5,692.661,1.7668,1.84629,1.12308,0.00069,0.21053,0.00049,0.00018,3.06731,11.1572,1.44643,0.00113588,0.00113588,0.00113588
6,833.003,1.81541,1.93717,1.14245,0.00093,0.28316,0.00071,0.00016,3.34533,12.4541,1.49897,0.00133675,0.00133675,0.00133675
7,965.865,1.78784,2.04586,1.12788,0.73156,0.25002,0.24006,0.08365,3.13886,10.4849,1.59848,0.00146896,0.00146896,0.00146896
8,1105.46,1.67936,2.01021,1.07089,0.06826,0.32947,0.12508,0.05732,3.2891,9.23531,1.66311,0.00143595,0.00143595,0.00143595
9,1238.19,1.55569,1.70495,1.04184,0.44388,0.12526,0.19002,0.06728,3.1918,7.47714,1.68399,0.00140295,0.00140295,0.00140295
10,1377.67,1.72893,1.4702,1.07971,0.57304,0.30841,0.35975,0.13543,3.13222,7.90076,1.56042,0.00136994,0.00136994,0.00136994
11,1520.37,1.72301,1.47956,1.1588,0.57793,0.43936,0.4618,0.19466,2.57186,5.8835,1.45387,0.00133693,0.00133693,0.00133693
12,1656.29,1.72928,1.38467,1.09155,0.65439,0.47002,0.41629,0.17224,2.85311,5.89806,1.47495,0.00130393,0.00130393,0.00130393
13,1782.58,1.62989,1.24629,1.1213,0.5584,0.53474,0.52118,0.22536,2.76268,5.60121,1.48711,0.00127092,0.00127092,0.00127092
14,1932.98,1.67155,1.27584,1.10141,0.55921,0.55474,0.58402,0.25292,2.70324,4.22784,1.41223,0.00123791,0.00123791,0.00123791
15,2078.49,1.66265,1.299,1.121,0.49964,0.52295,0.52314,0.2247,2.7874,5.15675,1.4506,0.00120491,0.00120491,0.00120491
16,2213.98,1.60154,1.19336,1.07081,0.57472,0.56842,0.56212,0.22833,2.85937,4.52422,1.44042,0.0011719,0.0011719,0.0011719
17,2348.34,1.48877,1.13827,1.07525,0.52943,0.52842,0.48623,0.21778,3.06557,3.80528,1.44702,0.00113889,0.00113889,0.00113889
18,2495.59,1.51405,1.10472,1.08123,0.69931,0.45474,0.593,0.2447,2.83039,3.52644,1.43372,0.00110589,0.00110589,0.00110589
19,2638.31,1.53625,1.08159,1.09282,0.57663,0.49925,0.54677,0.20256,2.96919,3.26761,1.47663,0.00107288,0.00107288,0.00107288
20,2775.69,1.56592,1.06948,1.07649,0.48466,0.59302,0.53292,0.20004,2.82606,3.77684,1.45345,0.00103987,0.00103987,0.00103987
21,2898.88,1.58373,1.10181,1.0921,0.47224,0.50105,0.45981,0.18596,3.21058,3.97235,1.54987,0.00100687,0.00100687,0.00100687
22,3037.03,1.52731,1.03185,1.03697,0.63312,0.54737,0.55489,0.24286,2.80737,3.02227,1.43941,0.000973861,0.000973861,0.000973861
23,3171.56,1.34366,1.14703,0.96549,0.78869,0.49725,0.58945,0.23351,2.94819,2.60622,1.46535,0.000940855,0.000940855,0.000940855
24,3297.56,1.53319,0.99794,1.08393,0.69496,0.50105,0.50296,0.22094,2.89968,2.80717,1.48001,0.000907848,0.000907848,0.000907848
25,3444.36,1.38508,0.91744,1.02208,0.55464,0.3968,0.47534,0.18151,2.85611,5.69728,1.45843,0.000874842,0.000874842,0.000874842
26,3586.77,1.30118,0.96439,0.93661,0.73023,0.40211,0.45997,0.1858,2.90794,4.54881,1.43218,0.000841835,0.000841835,0.000841835
