                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0326,                 2.6186,                 1.4481,                 1.2241,                0.84062,                0.80627,                0.87226,                0.63539,                0.41781,                0.42697,                 0.4379,                0.29405,                0.83769,                 1.7342,                 0.9023,                 1.0626,              0.0033318,              0.0033318,              0.0033318
                      2,                0.89521,                 2.0342,                0.90699,                 1.1435,                0.86342,                0.83535,                0.90074,                 0.6716,                0.43209,                0.43514,                0.45195,                0.30869,                0.80301,                 1.6304,                0.72535,                  1.052,              0.0065992,              0.0065992,              0.0065992
                      3,                 0.9115,                  2.021,                0.85734,                 1.1597,                0.86004,                0.82878,                0.89482,                0.66257,                0.42686,                0.43664,                0.44611,                0.30399,                0.82896,                 1.6687,                0.72595,                 1.0822,              0.0098005,              0.0098005,              0.0098005
                      4,                0.89971,                 1.9855,                0.81518,                 1.1596,                0.87429,                0.84726,                0.90985,                0.69389,                0.43452,                0.44086,                0.45452,                0.31667,                0.77299,                 1.5512,                0.64589,                 1.0483,               0.009703,               0.009703,               0.009703
                      5,                0.85204,                  1.888,                0.75195,                 1.1375,                 0.8826,                0.85996,                0.92265,                 0.7204,                0.44889,                0.45429,                0.46289,                 0.3273,                0.72305,                 1.4975,                0.59705,                 1.0192,               0.009604,               0.009604,               0.009604
                      6,                0.82532,                  1.839,                0.72342,                 1.1241,                0.89048,                0.86776,                0.92908,                0.73511,                0.44933,                0.45818,                0.46426,                0.33065,                0.70036,                 1.4677,                0.56134,                 1.0057,               0.009505,               0.009505,               0.009505
                      7,                0.80686,                  1.802,                0.69961,                 1.1163,                0.89706,                 0.8722,                0.93469,                0.74362,                0.45893,                0.46354,                0.46759,                0.33603,                0.68226,                 1.4473,                0.54501,                0.99235,               0.009406,               0.009406,               0.009406
                      8,                0.79557,                 1.7752,                0.68599,                 1.1103,                0.90094,                0.87025,                 0.9359,                0.75037,                0.46145,                0.46571,                0.46898,                0.33881,                0.66877,                 1.4325,                0.53488,                0.98813,               0.009307,               0.009307,               0.009307
                      9,                0.78356,                 1.7512,                0.67212,                 1.1057,                0.89728,                0.87873,                 0.9383,                0.75635,                0.46203,                0.46597,                0.47003,                0.34102,                0.65926,                 1.4208,                0.52177,                0.97846,               0.009208,               0.009208,               0.009208
                     10,                0.77614,                 1.7398,                 0.6643,                 1.1006,                0.90136,                0.87982,                0.94075,                0.76205,                0.46015,                0.47034,                0.47224,                0.34324,                0.64909,                 1.4095,                0.51174,                0.97314,               0.009109,               0.009109,               0.009109
                     11,                0.76932,                 1.7213,                 0.6579,                 1.0978,                0.89988,                0.88313,                0.94139,                0.76402,                0.46369,                0.46989,                0.47214,                0.34431,                0.64629,                 1.4056,                0.50741,                0.97202,                0.00901,                0.00901,                0.00901
