epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9471,2.96568,8.53416,1.73355,0.00661,0.05882,0.00308,0.00088,3.03798,4.88339,1.35003,1.667e-05,1.667e-05,1.667e-05
2,111.141,3.07368,7.49986,1.73982,0.02636,0.08824,0.01696,0.00417,2.93082,5.07898,1.3268,4.5059e-05,4.5059e-05,4.5059e-05
3,168.652,2.79433,5.77205,1.58977,0.30107,0.15686,0.20403,0.05488,2.74146,4.81722,1.28424,6.68467e-05,6.68467e-05,6.68467e-05
4,229.397,2.76748,4.30317,1.66423,0.5813,0.40564,0.39673,0.13299,2.54105,3.75574,1.27931,8.20331e-05,8.20331e-05,8.20331e-05
5,285.25,2.56397,4.11525,1.56493,0.75806,0.44608,0.4573,0.15361,2.32957,3.36731,1.26334,9.06181e-05,9.06181e-05,9.06181e-05
6,350.048,2.38183,3.39702,1.49688,0.63745,0.43203,0.44336,0.15552,2.20409,3.23477,1.24392,9.26019e-05,9.26019e-05,9.26019e-05
7,416.68,2.11655,2.8776,1.319,0.78967,0.50069,0.51984,0.19096,2.10713,2.7483,1.23014,8.79843e-05,8.79843e-05,8.79843e-05
8,481.547,2.29705,2.85002,1.47741,0.56591,0.55637,0.51568,0.21001,2.06004,2.61669,1.21543,7.67654e-05,7.67654e-05,7.67654e-05
9,554.366,2.06219,2.14347,1.2892,0.57163,0.53938,0.52036,0.20968,2.0553,2.59939,1.21504,5.89451e-05,5.89451e-05,5.89451e-05
10,619.99,2.0974,2.55854,1.27543,0.58903,0.52864,0.52064,0.21372,2.03644,2.55492,1.2087,3.45236e-05,3.45236e-05,3.45236e-05
